movie_or_serie,title,release_year,duration_seconds,channel_streaming,action,comedy,adventure,animation,anime,drama,international,kids,horror
TV Show,Secrets of the Zoo: North Carolina,2020,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,The Wizard of Paws,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Zombies: Addison's Moonstone Mystery,2020,1 Season,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Just Roll With It: You Decide Live!,2019,52 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Mickey's Tale of Two Witches,2021,47 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Muppets Haunted Mansion,2021,53 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,2021,85 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Under Wraps,2021,92 min,disney_plus,0,1,0,0,0,0,0,1,0
TV Show,Among the Stars,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Black Widow,2021,135 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Drain the Oceans,2017,4 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Drain The Oceans: The Mississippi River & Arctic War,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Fauci,2021,105 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,IMPACT with Gal Gadot,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,The Ghost and Molly McGee,2021,1 Season,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Alvin and the Chipmunks,2007,91 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,Alvin and the Chipmunks: The Road Chip,2015,92 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,LEGO Star Wars Terrifying Tales,2021,47 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Maleficent,2014,99 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,2017,22 min,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Disney Vampirina,2017,3 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Disney's Magic Bake-Off,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Great Barrier Reef,2020,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Ready for Preschool,2019,2 Seasons,disney_plus,0,0,0,0,0,0,0,1,0
TV Show,Rolie Polie Olie,1998,5 Seasons,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Star Wars Galaxy of Sounds,2021,1 Season,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,The Hatcher Family Dairy,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,The Simpsons,1989,32 Seasons,disney_plus,0,1,0,1,0,0,0,0,0
Movie,A Spark Story,2021,88 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Spooky Buddies,2011,93 min,disney_plus,0,1,0,0,0,0,0,1,0
Movie,The Fault in Our Stars,2014,127 min,disney_plus,0,0,0,0,0,1,0,0,0
TV Show,Dog: Impossible,2019,2 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Spidey And His Amazing Friends,2021,1 Season,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Star Wars: Visions,2021,1 Season,disney_plus,0,0,0,1,1,0,0,0,0
Movie,Confessions of a Shopaholic,2009,106 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Descendants: Royal Wedding,2021,22 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Disney's Broadway Hits at London's Royal Albert Hall,2016,116 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Flooded Tombs of the Nile,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Jade Eyed Leopard,2020,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Nona,2021,9 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,Smoky Mountain Park Rangers,2021,42 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Life Below Zero,2012,16 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Miraculous: Tales Of Ladybug & Cat Noir,2015,1 Season,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Unknown Waters with Jeremy Wade,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Far Away From Raven’s Home,2021,11 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Pirates of the Caribbean: On Stranger Tides,2011,140 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Twenty Something,2021,11 min,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,"Doogie Kamealoha, M.D.",2021,1 Season,disney_plus,0,1,0,0,0,0,0,0,0
TV Show,"Mira, Royal Detective",2020,2 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Pepper Ann,1997,3 Seasons,disney_plus,0,1,0,1,0,0,0,0,0
TV Show,The Incredible Dr. Pol,2011,19 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Happier Than Ever: A Love Letter to Los Angeles,2021,66 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,X-Men: Dark Phoenix,2019,115 min,disney_plus,0,0,0,0,0,0,0,0,0
